symbol,address,decimal,order_size,err
USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6,,None
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,,None
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,,None
DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18,,None
stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18,,None
LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,18,,None
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,,None
FRAX,0x853d955acef822db058eb8505911ed77f175b99e,18,,None
HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,8,,None
cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,18,,None
APE,0x4d224452801aced8b2f0aebe155379bb5d594381,18,,None
RPL,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,18,,None
wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,18,,None
CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,18,,None
FXS,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,18,,None
AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18,,None
BONE,0x9813037ee2218799597d83d4a5b6f3b6778218d9,18,,None
LUSD,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,18,,None
MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,18,,None
BUSD,0x4fabb145d64652a948d72533023f6e7a623c7c53,18,,None
SYN,0x0f2d719407fdbeff09d87557abb7232601fd9f29,18,,None
MATIC,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,18,,None
SHIB,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,18,,None
LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18,,None
CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,18,,None
UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18,,None
rETH,0xae78736cd615f374d3085123a210448e74fc6393,18,,None
XEN,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,18,,None
sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,18,,None
GUSD,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,2,,None
LOOKS,0xf4d2888d29d722226fafa5d9b24f9164c092421e,18,,None
XMON,0x3aada3e213abf8529606924d8d1c55cbdc70bf74,18,,None
GALA,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,8,,None
DYDX,0x92d6c1e31e14520e676a687f0a93788b716beff5,18,,None
cvxCRV,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,18,,None
MULTI,0x65ef703f5594d2573eb71aaf55bc0cb548492df4,18,,None
AGIX,0x5b7533812759b45c2b44c19e320ba2cd2681b542,8,,None
XTP,0x6368e1e18c4c419ddfc608a0bed1ccb87b9250fc,18,,None
HDRN,0x3819f64f282bf135d62168c1e513280daf905e06,9,,None
ICE,0xf16e81dce15b08f326220742020379b855b87df9,18,,None
STG,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,18,,None
ILV,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,18,,None
VAI,0xd13cfd3133239a3c73a9e535a5c4dadee36b395c,18,,None
OHM,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,9,,None
BADGER,0x3472a5a71965499acd81997a54bba8d852c6e53d,18,,None
YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18,,None
ALI,0x6b0b3a982b4634ac68dd83a4dbf02311ce324181,18,,None
NEXO,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,18,,None
oSQTH,0xf1b99e3e573a1a9c5e6b2ce818b617f0e664e86b,18,,None
GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7,18,,None
ALBT,0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,18,,None
BIT,0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5,18,,None
SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18,,None
ASIC,0x347a96a5bd06d2e15199b032f46fb724d6c73047,12,,None
ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,18,,None
TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,18,,None
QNT,0x4a220e6096b25eadb88358cb44068a3248254675,18,,None
ELON,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,18,,None
PAXG,0x45804880de22913dafe09f4980848ece6ecbaf78,18,,None
ETH2x-FLI,0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,18,,None
SHIK,0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,18,,None
MPL,0x33349b282065b0284d756f0577fb39c158f935e6,18,,None
SAND,0x3845badade8e6dff049820680d1f14bd3903a5d0,18,,None
RNDR,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,18,,None
X2Y2,0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,18,,None
xSUSHI,0x8798249c2e607446efb7ad49ec89dd1865ff4272,18,,None
BAL,0xba100000625a3754423978a60c9317c58a424e3d,18,,None
MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18,,None
MC,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,18,,None
FTM,0x4e15361fd6b4bb609fa63c81a2be19d873717870,18,,None
FOLD,0xd084944d3c05cd115c09d072b9f44ba3e0e45921,18,,None
SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18,,None
FUND,0xe9b076b476d8865cdf79d1cf7df420ee397a7f75,9,,None
IMPT,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,18,,None
LYXe,0xa8b919680258d369114910511cc87595aec0be6d,18,,None
JPEG,0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,18,,None
SWISE,0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2,18,,None
BTRFLY,0xc55126051b22ebb829d00368f4b12bde432de5da,18,,None
TSUKA,0xc5fb36dd2fb59d3b98deff88425a3f425ee469ed,9,,None
bLUSD,0xb9d7dddca9a4ac480991865efef82e01273f79c3,18,,None
Metis,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,18,,None
TONCOIN,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,9,,None
TAMA,0x12b6893ce26ea6341919fe289212ef77e51688c8,18,,None
WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,18,,None
WOOL,0x8355dbe8b0e275abad27eb843f3eaf3fc855e525,18,,None
SD,0x30d20208d987713f46dfd34ef128bb16c404d10f,18,,None
PREMIA,0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,18,,None
THOR,0xa5f2211b9b8170f694421f2046281775e8468044,18,,None
GYEN,0xc08512927d12348f6620a698105e1baac6ecd911,6,,None
MASQ,0x06f3c323f0238c72bf35011071f2b5b7f43a054c,18,,None
ASTO,0x823556202e86763853b40e9cde725f412e294689,18,,None
PLSD,0x34f0915a5f15a66eba86f6a58be1a471fb7836a7,12,,None
TEMPLE,0x470ebf5f030ed85fc1ed4c2d36b9dd02e77cf1b7,18,,None
RBN,0x6123b0049f904d730db3c36a31167d9d4121fa6b,18,,None
